run_id,timestamp,step_name,stage,duration,status,error_type,error_message,failure_type,line_number,file_path,matched_line,exit_code,python_version
run_0196,2026-08-27T11:30:46.4889412Z,Check App Syntax,build,0.025,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0197,2026-08-27T11:31:21.3776944Z,Check App Syntax,build,0.024,failure,SyntaxError,'(' was never closed,syntax_error,1,<string>,SyntaxError: '(' was never closed,1,3.11.16
run_0198,2026-08-27T11:31:46.6930754Z,Check App Syntax,build,0.023,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0199,2026-08-27T11:32:08.8571510Z,Check App Syntax,build,0.026,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0200,2026-08-27T11:32:29.5179682Z,Check App Syntax,build,0.024,failure,IndentationError,unexpected indent,syntax_error,1,<string>,IndentationError: unexpected indent,1,3.11.16
run_0201,2026-08-27T11:32:56.2960655Z,Check App Syntax,build,0.016,failure,SyntaxError,leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers,syntax_error,1,<string>,SyntaxError: leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers,1,3.11.16
run_0202,2026-08-27T11:33:24.0804090Z,Check App Syntax,build,0.028,failure,SyntaxError,'(' was never closed,syntax_error,1,<string>,SyntaxError: '(' was never closed,1,3.11.16
run_0203,2026-08-27T11:33:51.3846486Z,Check App Syntax,build,0.024,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0204,2026-08-27T11:34:17.8159935Z,Check App Syntax,build,0.025,failure,SyntaxError,'(' was never closed,syntax_error,1,<string>,SyntaxError: '(' was never closed,1,3.11.16
run_0205,2026-08-27T11:34:44.9525756Z,Check App Syntax,build,0.022,failure,SyntaxError,'[' was never closed,syntax_error,1,<string>,SyntaxError: '[' was never closed,1,3.11.16
run_0206,2026-08-27T11:35:05.7248304Z,Check App Syntax,build,0.025,failure,IndentationError,unexpected indent,syntax_error,1,<string>,IndentationError: unexpected indent,1,3.11.16
run_0207,2026-08-27T11:35:38.8729560Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0208,2026-08-27T11:36:05.9621280Z,Check App Syntax,build,0.024,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0209,2026-08-27T11:36:26.6787999Z,Check App Syntax,build,0.027,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0210,2026-08-27T11:36:47.9539393Z,Check App Syntax,build,0.02,failure,SyntaxError,invalid syntax,syntax_error,1,<string>,SyntaxError: invalid syntax,1,3.11.16
run_0211,2026-08-27T11:37:15.9498663Z,Check App Syntax,build,0.026,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0212,2026-08-27T11:37:41.3286917Z,Check App Syntax,build,0.025,failure,SyntaxError,expression expected after dictionary key and ':',syntax_error,1,<string>,SyntaxError: expression expected after dictionary key and ':',1,3.11.16
run_0213,2026-08-27T11:38:01.9800128Z,Check App Syntax,build,0.025,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0214,2026-08-27T11:38:29.5005393Z,Check App Syntax,build,0.016,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0215,2026-08-27T11:39:03.2692230Z,Check App Syntax,build,0.02,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0216,2026-08-27T11:39:30.5278659Z,Check App Syntax,build,0.025,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
run_0217,2026-08-27T11:39:56.9232239Z,Check App Syntax,build,0.026,failure,SyntaxError,expected ':',syntax_error,1,<string>,SyntaxError: expected ':',1,3.11.16
